Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
Proud,גֵּאֶה / גֵּאָה,Ge'e / Ge'a,pl. Ge'im / Ge'ot גֵּאִים / גֵּאוֹת,"geh-EH — sounds like a proud little ""GAY-eh!"" Ga'ava = pride; the Pride parade is Mitzad ha-Ga'ava.",אֲנִי גֵּאֶה בָּאָחוֹת שֶׁלִּי.,Ani ge'e ba-achot sheli.,I'm proud of my sister.,Adjectives · Emotions,23
Fun,כֵּיף,Kef,,"KEF — borrowed from Arabic kayf. ""Eize kef!"" = ""How fun!"" It's a noun really — ""Yesh li kef"" = I'm having fun.",אֵיזֶה כֵּיף בַּיָּם הַיּוֹם!,Eize kef ba-yam ha-yom!,What fun at the sea today!,Adjectives · Emotions,23
Interesting,מְעַנְיֵן / מְעַנְיֶנֶת,Me'anyen / Me'anyenet,pl. Me'anyenim / Me'anyenot מְעַנְיְנִים / מְעַנְיְנוֹת,"me-an-YEN — from inyan, ""a matter/interest"". ""Ein li inyan"" = ""I'm not interested"".",הַשִּׁיעוּר הַזֶּה מְעַנְיֵן מְאוֹד.,Ha-shiur ha-ze me'anyen me'od.,This lesson is very interesting.,Adjectives · Emotions,23
Body,גּוּף,Guf,pl. Gufim גּוּפִים,"GOOF — your body is a big GOOFY machine. Guf also means ""grammatical person"" (first person = guf rishon).",חָשׁוּב לִשְׁמוֹר עַל הַגּוּף.,Chashuv lishmor al ha-guf.,It's important to take care of your body.,Nouns · Body,24
Bone,עֶצֶם,Etzem,pl. Atzamot עֲצָמוֹת,"EH-tsem — etzem also means ""an object"" or ""the essence of a thing"": be-etzem = ""actually, in essence"".",הַכֶּלֶב אוֹכֵל עֶצֶם בַּגִּנָּה.,Ha-kelev ochel etzem ba-gina.,The dog eats a bone in the garden.,Nouns · Body,24
Stomach,קֵבָה,Keva,pl. Kevot קֵבוֹת,"KEH-va — think ""CAVE-ah"": the cave where your food goes.",כּוֹאֶבֶת לִי הַקֵּבָה אַחֲרֵי הָאֲרוּחָה.,Ko'evet li ha-keva achrei ha-arucha.,My stomach hurts after the meal.,Nouns · Body,24
Person (man / woman),גֶּבֶר / אִשָּׁה,Gever / Isha,pl. Gvarim / Nashim גְּבָרִים / נָשִׁים,"GEH-ver — a gever is a ""man's man""; gvura = heroism. Isha = woman, from the same root as ish (man/person). Note the irregular plural nashim.",יֵשׁ שְׁלוֹשָׁה גְּבָרִים וּשְׁתֵּי נָשִׁים בַּחֶדֶר.,Yesh shlosha gvarim ve-shtei nashim ba-cheder.,There are three men and two women in the room.,Nouns · Body,24
Baby,תִּינוֹק / תִּינוֹקֶת,Tinok / Tinoket,pl. Tinokim / Tinokot תִּינוֹקִים / תִּינוֹקוֹת,"tee-NOK — a baby gives a little ""TINY KNOCK"" on the world.",הַתִּינוֹקֶת יְשֵׁנָה בַּמִּטָּה.,Ha-tinoket yeshena ba-mita.,The baby girl is sleeping in the bed.,Nouns · Family,25
Brother,אָח,Ach,pl. Achim אַחִים,"ACH — ""Ach sheli!"" (""my brother!"") is how Israeli men greet each other. Also the sound of a sigh.",יֵשׁ לִי אָח אֶחָד וּשְׁתֵּי אֲחָיוֹת.,Yesh li ach echad ve-shtei achayot.,I have one brother and two sisters.,Nouns · Family,25
Sister,אָחוֹת,Achot,pl. Achayot אַחְיוֹת,"a-CHOT — brother + the feminine -ot. Achot also means ""nurse"" in a hospital.",הָאָחוֹת שֶׁלִּי גָּרָה בְּחֵיפָה.,Ha-achot sheli gara be-Chaifa.,My sister lives in Haifa.,Nouns · Family,25
Husband / owner,בַּעַל,Ba-al,pl. Bealim בְּעָלִים,"BA-al — Baal was the Canaanite ""lord"". A ba'al is a master or owner — and, old-fashionedly, a husband.",הַבַּעַל שֶׁלָּהּ מְבַשֵּׁל מְצֻיָּן.,Ha-ba'al shela mevashel metzuyan.,Her husband cooks excellently.,Nouns · Family,25
Partner / roommate,שׁוּתָף / שׁוּתָפָה,Shutaf / Shutafa,pl. Shutafim / Shutafot שׁוּתָפִים / שׁוּתָפוֹת,shu-TAF — you SHARE the TAB. Shutafut = a partnership.,הַשּׁוּתָפָה שֶׁלִּי לְדִירָה מְאוֹד נְקִיָּה.,Ha-shutafa sheli le-dira me'od nekiya.,My apartment roommate is very clean.,Nouns · Family,25
Brother-in-law,גִּיס,Gis,pl. Gisim גִּיסִים,"GEES — ""GEEZ, another in-law."" Short and easy; add -a for the sister-in-law.",הַגִּיס שֶׁלִּי בָּא לָאֲרוּחָה.,Ha-gis sheli bah la-arucha.,My brother-in-law is coming to the meal.,Nouns · Family,26
Sister-in-law,גִּיסָה,Gisa,pl. Gisot גִּיסוֹת,gee-SA — gis + the feminine -a. Hebrew is beautifully regular here.,הַגִּיסָה שֶׁלִּי אַדְרִיכָלִית.,Ha-gisa sheli adrichalit.,My sister-in-law is an architect.,Nouns · Family,26
Daughter-in-law / bride,כַּלָּה,Kala,pl. Kalot כַּלּוֹת,"ka-LA — the same word covers ""bride"" and ""daughter-in-law"". Kala sounds like ""call-ah"" — the one being called into the family.",הַכַּלָּה לוֹבֶשֶׁת שִׂמְלָה לְבָנָה.,Ha-kala lovehet simla levana.,The bride wears a white dress.,Nouns · Family,26
Son-in-law / groom,חָתָן,Chatan,pl. Chatanim חֲתָנִים,cha-TAN — the groom at the chatuna (wedding). Same root: ch-t-n.,הֶחָתָן וְהַכַּלָּה רוֹקְדִים.,Ha-chatan ve-ha-kala rokdim.,The groom and bride are dancing.,Nouns · Family,26
Step- (relative),חוֹרֵג / חוֹרֶגֶת,Choreg / Choreget,,"cho-REG — literally ""deviating / outside the norm"". Add it after the relative: ach choreg = stepbrother.",הָאָח הַחוֹרֵג שֶׁלִּי גָּר בְּאָמֶרִיקָה.,Ha-ach ha-choreg sheli gar be-Amerika.,My stepbrother lives in America.,Nouns · Family,26
To ask for / to request,מְבַקֵּשׁ / מְבַקֶּשֶׁת,Mevakesh / Mevakeshet,inf. Le-vakesh לְבַקֵּשׁ,"me-va-KESH — you request CASH. Bakasha = a request; bevakasha = ""please / here you go"".","אֲנִי מְבַקֶּשֶׁת מַיִם, בְּבַקָּשָׁה.","Ani mevakeshet mayim, bevakasha.","I'm asking for water, please.",Verbs · Communication,29
To answer,עוֹנֶה / עוֹנָה,One / Ona,inf. La-anot לַעֲנוֹת,"OH-neh — ""Oh, NAY"" is still an answer. Tshuva = an answer.",הִיא לֹא עוֹנָה לַטֶּלֶפוֹן.,Hi lo ona la-telefon.,She isn't answering the phone.,Verbs · Communication,29
To explain,מַסְבִּיר / מַסְבִּירָה,Masbir / Masbira,inf. Le-hasbir לְהַסְבִּיר,mas-BEER — after a couple of BEERS everyone starts explaining everything.,הַמּוֹרָה מַסְבִּירָה אֶת הַשִּׁיעוּר שׁוּב.,Ha-mora masbira et ha-shiur shuv.,The teacher explains the lesson again.,Verbs · Communication,29
To shout / to yell,צוֹעֵק / צוֹעֶקֶת,Tzoek / Tzoeket,inf. Litz-ok לִצְעֹק,"TSO-ek — sounds like a shriek itself: ""tsoh-EK!"" Half a shout, half a squawk.","אַל תִּצְעַק, אֲנִי לֹא חֵרֵשׁ!","Al titz'ak, ani lo cheresh!","Don't shout, I'm not deaf!",Verbs · Communication,29
To be quiet / to shut up,שׁוֹתֵק / שׁוֹתֶקֶת,Shotek / Shoteket,inf. Lish-tok לִשְׁתּוֹק,"SHO-tek — ""Shhh… take it down."" Sheket! = ""Quiet!"" — same root.",כֻּלָּם שׁוֹתְקִים כְּשֶׁהוּא מְדַבֵּר.,Kulam shotkim kshe-hu medaber.,Everyone goes quiet when he speaks.,Verbs · Communication,29
Nephew,אַחְיָן,Achyan,pl. Achyanim אַחְיָנִים,"ach-YAN — from ach (brother): your brother's kid. ""Brother-ian"".",הָאַחְיָן שֶׁלִּי בֶּן חָמֵשׁ.,Ha-achyan sheli ben chamesh.,My nephew is five years old.,Nouns · Family,30
Niece,אַחְיָנִית,Achyanit,pl. Achyaniot אַחְיָנִיּוֹת,ach-ya-NEET — nephew + the feminine -it ending.,הָאַחְיָנִית שֶׁלִּי לוֹמֶדֶת בָּלֶט.,Ha-achyanit sheli lomedet balet.,My niece studies ballet.,Nouns · Family,30
Grandson,נֶכֶד,Neched,pl. Nechadim נְכָדִים,"NEH-ched — say ""NEXT generation"" — the neched is next in line.",סָבְתָא מְפַנֶּקֶת אֶת הַנֶּכֶד.,Savta mefaneket et ha-neched.,Grandma spoils her grandson.,Nouns · Family,30
Granddaughter,נֶכְדָּה,Nechda,pl. Nechadot נְכָדוֹת,NECH-da — neched + the feminine -a.,הַנֶּכְדָּה שֶׁלּוֹ בַּת שָׁלוֹשׁ.,Ha-nechda shelo bat shalosh.,His granddaughter is three years old.,Nouns · Family,30
Great-grandson,נִין,Nin,pl. Ninim נִינִים,"NEEN — one generation further than neched, and one syllable shorter. Easy pair to remember together.",יֵשׁ לוֹ שְׁלוֹשָׁה נִינִים.,Yesh lo shlosha ninim.,He has three great-grandsons.,Nouns · Family,30
Great-granddaughter,נִינָה,Nina,pl. Ninot נִינוֹת,"nee-NA — nin + -a, exactly like neched/nechda.",הַנִּינָה שֶׁלָּהּ נוֹלְדָה אֶתְמוֹל.,Ha-nina shela nolda etmol.,Her great-granddaughter was born yesterday.,Nouns · Family,30
Sad,עָצוּב / עֲצוּבָה,Atzuv / Atzuva,pl. Atzuvim / Atzuvot עֲצוּבִים / עֲצוּבוֹת,"a-TSOOV — from etzev, sorrow. ""A-TSOOB"" — a sad, drooping sound.",הוּא עָצוּב כִּי הֶחָבֵר שֶׁלּוֹ עָזַב.,Hu atzuv ki ha-chaver shelo azav.,He's sad because his friend left.,Adjectives · Emotions,31
Angry,כּוֹעֵס / כּוֹעֶסֶת,Ko'es / Ko'eset,pl. Ko'asim / Ko'asot כּוֹעֲסִים / כּוֹעֲסוֹת,"ko-ES — it even sounds like a cross ""KO-ess!"" Ka'as = anger.","אַל תִּכְעַס עָלַי, זֶה הָיָה טָעוּת.","Al tich'as alai, ze haya ta'ut.","Don't be angry at me, it was a mistake.",Adjectives · Emotions,31
Upset / irritated,רוֹגֵז / רוֹגֶזֶת,Rogez / Rogezet,pl. Rogzim / Rogzot רוֹגְזִים / רוֹגְזוֹת,"ro-GEZ — a milder, sulkier version of ko'es. ""Be-rogez"" means two people aren't speaking to each other.",הֵם בְּרוֹגֶז מִשָּׁבוּעַ שֶׁעָבַר.,Hem be-rogez mi-shavua she-avar.,They've been on bad terms since last week.,Adjectives · Emotions,31
Depressed,דִּכָּאוֹנִי / דִּכָּאוֹנִית,Dika'oni / Dika'onit,pl. Dika'oniim / Dika'oniyot דִּכָּאוֹנִיִּים / דִּכָּאוֹנִיּוֹת,"di-ka-o-NEE — from dika'on, depression, from a root meaning ""crushed down"". Think ""DECK-a-own"" — pressed to the deck.",מֶזֶג הָאֲוִיר הָאָפֹר דִּכָּאוֹנִי.,Ha-mezeg avir ha-afor dika'oni.,The grey weather is depressing.,Adjectives · Emotions,31
Frustrated,מְתֻסְכָּל / מְתֻסְכֶּלֶת,Metuskal / Metuskelet,pl. Metuskalim / Metuskalot מְתֻסְכָּלִים / מְתֻסְכָּלוֹת,"me-tus-KAL — from tiskul, frustration. Say ""me-too-SCOLD"" — the feeling of being blocked at every turn.",אֲנִי מְתֻסְכֶּלֶת מֵהָעֲבוֹדָה הַזֹּאת.,Ani metuskelet me-ha-avoda ha-zo.,I'm frustrated with this job.,Adjectives · Emotions,31
Guest,אוֹרֵחַ / אוֹרַחַת,Oreach / Orachat,pl. Orchim / Orchot אוֹרְחִים / אוֹרְחוֹת,o-RE-ach — from orach (a way/path): a guest is someone traveling your way. Hachnasat orchim = hospitality.,הָאוֹרְחִים מַגִּיעִים בְּשֵׁשׁ.,Ha-orchim magi'im be-shesh.,The guests arrive at six.,Nouns · People,32
Pair / couple,זוּג,Zug,pl. Zugot זוּגוֹת,"ZOOG — think ""ZOO-G"": animals boarded the ark two by two. Ben zug / bat zug = partner (male / female).",קָנִיתִי זוּג גַּרְבַּיִם חָדָשׁ.,Kaniti zug garbayim chadash.,I bought a new pair of socks.,Nouns · People,32
Immigrant (to Israel),עוֹלֶה / עוֹלָה,Oleh / Olah,pl. Olim / Olot עוֹלִים / עוֹלוֹת,"o-LEH — from la'alot, ""to go up"". Moving to Israel is aliyah — an ascent — so an immigrant is one who ""goes up"".",הָעוֹלִים הַחֲדָשִׁים לוֹמְדִים עִבְרִית בְּאֻלְפָּן.,Ha-olim ha-chadashim lomdim ivrit be-ulpan.,The new immigrants study Hebrew at an ulpan.,Nouns · People,32
Idiot / fool,טֶמְבֶּל / טֶמְבֶּלֶת,Tembel / Tembelet,pl. Tembelim / Tembelot טֶמְבְּלִים / טֶמְבְּלוֹת,"TEM-bel — a TUMBLE-brain. The classic Israeli sun hat is even called a kova tembel, an ""idiot's hat"".","אַל תִּהְיֶה טֶמְבֶּל, קַח מִטְרִיָּה.","Al tihiye tembel, kach mitria.","Don't be an idiot, take an umbrella.",Nouns · People,32
Soldier,חַיָּל / חַיֶּלֶת,Chayal / Chayelet,pl. Chayalim / Chayalot חַיָּלִים / חַיָּלוֹת,"cha-YAL — from chayil, ""strength/valor"". Eshet chayil = ""a woman of valor"".",הַחַיֶּלֶת חוֹזֶרֶת הַבַּיְתָה לְשַׁבָּת.,Ha-chayelet chozeret ha-baita le-shabbat.,The female soldier comes home for Shabbat.,Nouns · People,32
To think,חוֹשֵׁב / חוֹשֶׁבֶת,Choshev / Choshevet,inf. Lach-shov לַחְשׁוֹב,"cho-SHEV — a machshev is a computer, the thinking machine. Same root: ch-sh-v.",אֲנִי חוֹשֶׁבֶת שֶׁזֶּה רַעְיוֹן טוֹב.,Ani choshevet she-ze ra'ayon tov.,I think it's a good idea.,Verbs · Mind,33
To know (a fact),יוֹדֵעַ / יוֹדַעַת,Yodea / Yodaat,inf. La-daat לָדַעַת,"yo-DEH-a — ""Yo, DAY-a — do you know what day it is?"" Use for facts and information.",אֲנִי לֹא יוֹדֵעַ אֵיפֹה הַמַּפְתֵּחַ.,Ani lo yodea eifo ha-mafteach.,I don't know where the key is.,Verbs · Mind,33
To know (a person) / to be familiar with,מַכִּיר / מַכִּירָה,Makir / Makira,inf. Le-hakir לְהַכִּיר,"ma-KEER — ""my DEAR"" — the people you know dearly. Never use yodea for people.",אַתְּ מַכִּירָה אֶת הַשְּׁכֵנָה הַחֲדָשָׁה?,At makira et ha-shchena ha-chadasha?,Do you know the new neighbor?,Verbs · Mind,33
To understand,מֵבִין / מְבִינָה,Mevin / Mevina,inf. Le-havin לְהָבִין,"meh-VEEN — ""Me? BEEN there, so I understand.""",אֲנִי מְבִינָה אֶת הַמִּלָּה אֲבָל לֹא אֶת הַמִּשְׁפָּט.,Ani mevina et ha-mila aval lo et ha-mishpat.,I understand the word but not the sentence.,Verbs · Mind,33
To remember,זוֹכֵר / זוֹכֶרֶת,Zocher / Zocheret,inf. Liz-kor לִזְכּוֹר,"zo-CHER — ""Yizkor"" is the memorial prayer: remember. Think of a ZOO you'll never forget.",אַתָּה זוֹכֵר אֶת הַשֵּׁם שֶׁלָּהּ?,Ata zocher et ha-shem shela?,Do you remember her name?,Verbs · Mind,33
Doctor,רוֹפֵא / רוֹפְאָה,Rofe / Rofa,pl. Rofim / Rofot רוֹפְאִים / רוֹפְאוֹת,"ro-FEH — think of a doctor who says ""ro-FEH, you'll be fine."" Refua = medicine; refua shlema = ""get well soon"".",הָרוֹפְאָה בּוֹדֶקֶת אֶת הַחוֹלֶה.,Ha-rofa bodeket et ha-choleh.,The doctor examines the patient.,Nouns · Professions,36
Dentist,רוֹפֵא / רוֹפְאַת שִׁנַּיִם,Rofe / Rofat shinayim,pl. Rofei / Rofot shinayim רוֹפְאֵי / רוֹפְאוֹת שִׁנַּיִם,"Literally ""teeth doctor"" — Hebrew builds compound jobs by stacking nouns. Shen (tooth) → shinayim.",אֲנִי הוֹלֵךְ לְרוֹפֵא שִׁנַּיִם פַּעֲמַיִם בַּשָּׁנָה.,Ani holech le-rofe shinayim pa'amayim ba-shana.,I go to the dentist twice a year.,Nouns · Professions,36
Psychologist,פְּסִיכוֹלוֹג / פְּסִיכוֹלוֹגִית,Psicholog / Psichologit,pl. Psichologim פְּסִיכוֹלוֹגִים,Straight from English — just add the -it for the feminine. Hebrew borrows freely for modern professions.,הִיא פְּסִיכוֹלוֹגִית לִילָדִים.,Hi psichologit le-yeladim.,She's a children's psychologist.,Nouns · Professions,36
Therapist / caregiver,מְטַפֵּל / מְטַפֶּלֶת,Metapel / Metapelet,pl. Metaplim / Metaplot מְטַפְּלִים / מְטַפְּלוֹת,"me-ta-PEL — from letapel be-, ""to take care of"". A metapelet is also a nanny.",הַמְּטַפֶּלֶת בָּאָה כָּל בֹּקֶר.,Ha-metapelet ba'a kol boker.,The caregiver comes every morning.,Nouns · Professions,36
Social worker,עוֹבֵד / עוֹבֶדֶת סוֹצְיָאלִית,Oved / Ovedet sotzialit,pl. Ovdim / Ovdot sotzialiyot עוֹבְדִים / עוֹבְדוֹת סוֹצְיָאלִיּוֹת,"oved = worker (from la'avod, to work) + sotzialit. Literally ""social worker"", word for word.",הָעוֹבֶדֶת הַסּוֹצְיָאלִית עוֹזֶרֶת לַמִּשְׁפָּחָה.,Ha-ovedet ha-sotzialit ozeret la-mishpacha.,The social worker helps the family.,Nouns · Professions,36
When? (question),מָתַי,Matai,,"ma-TAI — ""ma"" starts most Hebrew question words: ma (what), matai (when), madua (why). Learn them as a family.",מָתַי אַתָּה מַגִּיעַ?,Matai ata magia?,When are you arriving?,Connectors · Questions,37
When… (in a statement),כְּשֶׁ־,Kshe- (+ pronoun),,kshe- glues onto the front of the next word. Matai is only for questions; kshe- is for everything else. This trips up every learner — keep them apart.,"כְּשֶׁהוּא בָּא, נֹאכַל.","Kshe-hu ba, nochal.","When he comes, we'll eat.",Connectors · Questions,37
When I…,כְּשֶׁאֲנִי,Ksheani,,"kshe- + ani, written as one word. Same for ksheata, ksheat, kshehu, kshehi.","כְּשֶׁאֲנִי עֲיֵפָה, אֲנִי לֹא מְדַבֶּרֶת טוֹב.","Ksheani ayefa, ani lo medaberet tov.","When I'm tired, I don't speak well.",Connectors · Questions,37
When there is / when I have,כְּשֶׁיֵּשׁ,Kshe-yesh,,"kshe- + yesh (there is). Yesh li = I have; so kshe-yesh li = ""when I have"".","כְּשֶׁיֵּשׁ לִי זְמַן, אֲנִי קוֹרֵא.","Kshe-yesh li zman, ani kore.","When I have time, I read.",Connectors · Questions,37
Which / what kind of,אֵיזֶה / אֵיזוֹ,Eize / Eizo,pl. Eilu אֵילוּ,"EI-zeh — also used for exclamations: ""Eize yofi!"" = ""How lovely!"" Eize for masculine, eizo for feminine.",אֵיזֶה סֵפֶר אַתְּ קוֹרֵאת?,Eize sefer at koret?,Which book are you reading?,Connectors · Questions,37
While / at the time that,בִּזְמַן שֶׁ־,Bizman she-,,"be- (in) + zman (time) + she- (that). Literally ""in the time that"". Hebrew builds connectors by stacking little pieces like this.","בִּזְמַן שֶׁהִיא מְבַשֶּׁלֶת, אֲנִי מְסַדֵּר.","Bizman she-hi mevashelet, ani mesader.","While she cooks, I tidy up.",Connectors · Questions,37
Lawyer,עוֹרֵךְ דִּין / עוֹרֶכֶת דִּין,Orech din / Orechet din,pl. Orchei din / Orchot din עוֹרְכֵי דִּין / עוֹרְכוֹת דִּין,"orech = editor/arranger, din = law. A lawyer is literally ""an arranger of the law"".",עוֹרֶכֶת הַדִּין קוֹרֵאת אֶת הַחוֹזֶה.,Ha-orechet din kor'et et ha-chozeh.,The lawyer reads the contract.,Nouns · Professions,38
Judge,שׁוֹפֵט / שׁוֹפֶטֶת,Shofet / Shofetet,pl. Shoftim שׁוֹפְטִים,sho-FET — the biblical Book of Judges is Shoftim. Also the referee in a soccer match.,הַשּׁוֹפֵט מְקַבֵּל הַחְלָטָה.,Ha-shofet mekabel hachlata.,The judge makes a decision.,Nouns · Professions,38
Police officer,שׁוֹטֵר / שׁוֹטֶרֶת,Shoter / Shoteret,pl. Shotrim שׁוֹטְרִים,sho-TER — a shoter will give you a TICKET. Mishtara = the police force.,הַשּׁוֹטֵר עוֹצֵר אֶת הַמְּכוֹנִית.,Ha-shoter otzer et ha-mechonit.,The police officer stops the car.,Nouns · Professions,38
Officer (military),קָצִין / קְצִינָה,Katzin / Ktzina,pl. Katzinim / Ktzinot קָצִינִים / קְצִינוֹת,ka-TSEEN — an officer is KEEN and in command. One rung above the chayal.,הַקָּצִין מְדַבֵּר עִם הַחַיָּלִים.,Ha-katzin medaber im ha-chayalim.,The officer speaks with the soldiers.,Nouns · Professions,38
Guard / watchman,שׁוֹמֵר / שׁוֹמֶרֶת,Shomer / Shomeret,pl. Shomrim / Shomrot שׁוֹמְרִים / שׁוֹמְרוֹת,"Exactly the verb lishmor turned into a person — Hebrew makes job titles this way constantly (kotev → writer, shomer → guard).",הַשּׁוֹמֵר עוֹמֵד לִפְנֵי הַבִּנְיָן.,Ha-shomer omed lifnei ha-binyan.,The guard stands in front of the building.,Nouns · Professions,38
To forget,שׁוֹכֵחַ / שׁוֹכַחַת,Shocheach / Shochachat,inf. Lish-koach לִשְׁכּוֹחַ,"sho-KHE-ach — you forgot, so you SHRUG and say ""ach!"" The opposite twin of zocher.",אֲנִי תָּמִיד שׁוֹכַחַת אֶת הַמִּשְׁקָפַיִם.,Ani tamid shochachat et ha-mishkafayim.,I always forget my glasses.,Verbs · Mind,39
To believe,מַאֲמִין / מַאֲמִינָה,Maamin / Maamina,inf. Le-haamin לְהַאֲמִין,ma-a-MEEN — say AMEN and you're a maamin. Literally the same root: a-m-n.,אֲנִי לֹא מַאֲמִין לַסִּפּוּר הַזֶּה.,Ani lo maamin la-sipur ha-ze.,I don't believe this story.,Verbs · Mind,39
To hope,מְקַוֶּה / מְקַוָּה,Mekaveh / Mekava,inf. Le-kavot לְקַוּוֹת,"me-ka-VEH — same root as Ha-Tikva, ""the hope"", Israel's anthem. Ani mekaveh = ""hopefully"", said constantly.",אֲנִי מְקַוָּה שֶׁמָּחָר יִהְיֶה חַם.,Ani mekava she-machar yihiyeh cham.,I hope tomorrow will be warm.,Verbs · Mind,39
To consider / to weigh,שׁוֹקֵל / שׁוֹקֶלֶת,Shokel / Shokelet,inf. Lish-kol לִשְׁקוֹל,"SHO-kel — the shekel was originally a WEIGHT. To consider is to weigh options — same word, same coin.",אֲנַחְנוּ שׁוֹקְלִים לַעֲבוֹר לְעִיר אַחֶרֶת.,Anachnu shoklim laavor le-ir acheret.,We're considering moving to another city.,Verbs · Mind,39
To calculate,מְחַשֵּׁב / מְחַשֶּׁבֶת,Mechashev / Mechashevet,inf. Le-chashev לְחַשֵּׁב,me-cha-SHEV — one letter from choshev (thinks). Machshev = computer = the calculating machine.,הוּא מְחַשֵּׁב כַּמָּה זֶה יַעֲלֶה.,Hu mechashev kama ze ya'ale.,He's calculating how much it will cost.,Verbs · Mind,39
Architect,אַדְרִיכָל / אַדְרִיכָלִית,Adrichal / Adrichalit,pl. Adrichalim / Adrichaliot אַדְרִיכָלִים / אַדְרִיכָלִיּוֹת,"ad-ri-CHAL — a long, grand word for a person who designs grand things. Adrichalut = architecture.",הָאַדְרִיכָלִית מְצַיֶּרֶת אֶת הַבִּנְיָן.,Ha-adrichalit metzayeret et ha-binyan.,The architect draws the building.,Nouns · Professions,40
Engineer,מְהַנְדֵּס / מְהַנְדֶּסֶת,Mehandes / Mehandeset,pl. Mehandesim / Mehandesot מְהַנְדְּסִים / מְהַנְדְּסוֹת,"me-han-DES — think ""my HANDS"" — the person who builds with precision. Handasa = engineering (and geometry).",הַמְּהַנְדֵּס עוֹבֵד עַל גֶּשֶׁר חָדָשׁ.,Ha-mehandes oved al gesher chadash.,The engineer works on a new bridge.,Nouns · Professions,40
Farmer,חַקְלַאי / חַקְלָאִית,Chaklai / Chaklait,pl. Chaklaim / Chaklaiot חַקְלָאִים / חַקְלָאִיּוֹת,"chak-LAI — from chakla, an Aramaic word for field. Chakla'ut = agriculture, a proud Israeli word.",הַחַקְלַאי מְגַדֵּל עַגְבָנִיּוֹת.,Ha-chaklai megadel agvaniot.,The farmer grows tomatoes.,Nouns · Professions,40
Cook / chef,טַבָּח / טַבָּחִית,Tabach / Tabachit,pl. Tabachim טַבָּחִים,ta-BACH — a chef who cooks up a BATCH. Mitbach (kitchen) is the same root: t-b-ch.,הַטַּבָּח מְבַשֵּׁל בַּמִּטְבָּח.,Ha-tabach mevashel ba-mitbach.,The cook cooks in the kitchen.,Nouns · Professions,40
Waiter,מֶלְצַר / מֶלְצָרִית,Meltzar / Meltzarit,pl. Meltzarim מֶלְצָרִים,"MEL-tsar — the waiter is the little ""TSAR"" of your table, bringing the MEAL.",הַמֶּלְצַר מֵבִיא אֶת הַתַּפְרִיט.,Ha-meltzar mevi et ha-tafrit.,The waiter brings the menu.,Nouns · Professions,40
Anxious,חָרֵד / חֲרֵדָה,Chared / Chareda,pl. Charedim / Charedot חֲרֵדִים / חֲרֵדוֹת,"cha-RED — literally ""trembling"". The ultra-Orthodox are called Charedim, ""those who tremble before God"".",אֲנִי חֲרֵדָה לִפְנֵי הַבְּחִינָה.,Ani chareda lifnei ha-bechina.,I'm anxious before the exam.,Adjectives · Emotions,43
Scared / frightened,מְפֻחָד / מְפֻחֶדֶת,Mefuchad / Mefuchedet,pl. Mefuchadim / Mefuchadot מְפֻחָדִים / מְפֻחָדוֹת,"me-fu-CHAD — from pachad, fear. ""Eize pachad!"" = ""How scary!""",הַיֶּלֶד מְפֻחָד מֵהַחֹשֶׁךְ.,Ha-yeled mefuchad me-ha-choshech.,The boy is scared of the dark.,Adjectives · Emotions,43
Confusing,מְבַלְבֵּל / מְבַלְבֶּלֶת,Mevalbel / Mevalbelet,pl. Mevalbelim / Mevalbelot מְבַלְבְּלִים / מְבַלְבְּלוֹת,"me-val-BEL — from bilbul, and back to the Tower of Babel. The word itself is a tongue-tangle.",הַדִּקְדּוּק הַזֶּה מְבַלְבֵּל אוֹתִי.,Ha-dikduk ha-ze mevalbel oti.,This grammar confuses me.,Adjectives · Emotions,43
Crazy,מְשֻׁגָּע / מְשֻׁגַּעַת,Meshuga / Meshuga'at,pl. Meshuga'im / Meshuga'ot מְשֻׁגָּעִים / מְשֻׁגָּעוֹת,"me-shu-GA — the Yiddish ""meshugge"" came straight from here. ""Ata meshuga?!"" is heard hourly in Israel.",אַתָּה מְשֻׁגָּע? זֶה יָקָר מִדַּי!,Ata meshuga? Ze yakar mid'i!,Are you crazy? That's too expensive!,Adjectives · Emotions,43
Strange / weird,מוּזָר / מוּזָרָה,Muzar / Muzara,pl. Muzarim / Muzarot מוּזָרִים / מוּזָרוֹת,"mu-ZAR — from zar, ""a stranger/foreign"". Something muzar is strange-ified.",יֵשׁ רֵיחַ מוּזָר בַּמִּטְבָּח.,Yesh reach muzar ba-mitbach.,There's a strange smell in the kitchen.,Adjectives · Emotions,43
Artist,אָמָּן / אָמָּנִית,Oman / Omanit,pl. Omanim / Omaniot אָמָּנִים / אָמָּנִיּוֹת,o-MAN — an artist is a craftsMAN. Omanut = art.,הָאָמָּנִית מוֹצֵאת הַשְׁרָאָה בַּטֶּבַע.,Ha-omanit motzet hashra'a ba-teva.,The artist finds inspiration in nature.,Nouns · Professions,44
Painter,צַיָּר / צַיֶּרֶת,Tzayar / Tzayeret,pl. Tzayarim / Tzayarot צַיָּרִים / צַיָּרוֹת,tsa-YAR — from tzeva (color) and tziur (a drawing). A tzayar makes tziurim.,הַצַּיָּר מְצַיֵּר תְּמוּנָה גְּדוֹלָה.,Ha-tzayar mezayer tmuna gdola.,The painter paints a big picture.,Nouns · Professions,44
